namespace	strain_number
str7315	ATCC 19398	culture_number
str7315	BCRC 11665	culture_number
str7315	CCRC 11665	culture_number
str7315	CCUG 4217	culture_number
str7315	CECT 361	culture_number
str7315	CIP 103309	culture_number
str7315	CIP 109397	culture_number
str7315	DSM 10702	culture_number
str7315	DSM 552	culture_number
str7315	HAMBI 482	culture_number
str7315	IAM 14194	culture_number
str7315	IFO 13949	culture_number
str7315	JCM 1391	culture_number
str7315	KCTC 1786	culture_number
str7315	KCTC 1871	culture_number
str7315	LMD 89.156	culture_number
str7315	LMG 1217	culture_number
str7315	LMG 5588	culture_number
str7315	NBRC 13949	culture_number
str7315	NCAIM B.02000	culture_number
str7315	NCCB 89156	culture_number
str7315	NCDO 1713	culture_number
str7315	NCFB 1713	culture_number
str7315	NCIB 7423	culture_number
str7315	NCIMB 7423	culture_number
str7315	NCTC 7423	culture_number
str7315	VKM B-1773	culture_number
str7315	VTT E-911415	culture_number
str7315	VTT E-91426	culture_number
str7315	VTT E-97426	culture_number
str7315	VTT E-991415	culture_number
str7316	ATCC 6013	culture_number
str7316	BCRC 10942	culture_number
str7316	CCRC 10942	culture_number
str7316	CCT 0203	culture_number
str7316	CCUG 31328	culture_number
str7316	CECT 377	culture_number
str7316	DSM 525	culture_number
str7316	IMET 11346	culture_number
str7316	JCM 1108	culture_number
str7316	JCM 1408	culture_number
str7316	KCTC 1674	culture_number
str7316	LMG 3285	culture_number
str7316	LMG 5709	culture_number
str7316	NCDO 1845	culture_number
str7316	NCFB 1845	culture_number
str7316	NCIB 9486	culture_number
str7316	NCIMB 9486	culture_number
str7316	VKM B-1774	culture_number
str7321	ATCC 35414	culture_number
str7321	BCRC 14493	culture_number
str7321	CCRC 14493	culture_number
str7321	DSM 8532	culture_number
str7321	NCIB 11754	culture_number
str7321	NCIMB 11754	culture_number
str7323	ATCC 15920	culture_number
str7323	DSM 528	culture_number
str7323	NCIMB 11547	culture_number
str7325	CIP 111427	culture_number
str7334	ATCC 10668	culture_number
str7334	CBS 942	culture_number
str7334	DBVPG 6007	culture_number
str7334	IFO 0766	culture_number
str7334	IFO 1011	culture_number
str7334	IFO 1321	culture_number
str7334	IFO 1487	culture_number
str7334	IFO 1868	culture_number
str7334	IFO 384	culture_number
str7334	MUCL 30414	culture_number
str7334	NBIMCC 1747	culture_number
str7334	NBRC 0384	culture_number
str7334	NBRC 0766	culture_number
str7334	NBRC 1011	culture_number
str7334	NBRC 1321	culture_number
str7334	NBRC 1487	culture_number
str7334	NBRC 1868	culture_number
str7334	NRRL Y-1401	culture_number
str7334	VKM Y-1595	culture_number
str7334	VKM Y-731	culture_number
str7339	AS 2.1855	culture_number
str7339	ATCC 36239	culture_number
str7339	BCRC 21394	culture_number
str7339	CBS 767	culture_number
str7339	CCRC 21394	culture_number
str7339	CECT 11369	culture_number
str7339	CGMCC 2.1839	culture_number
str7339	CGMCC 2.1855	culture_number
str7339	CLIB 197	culture_number
str7339	DBVPG 6050	culture_number
str7339	HUT 7056	culture_number
str7339	IAM 14384	culture_number
str7339	IFO 0083	culture_number
str7339	JCM 1990	culture_number
str7339	JCM 2101	culture_number
str7339	KCTC 7128	culture_number
str7339	KCTC 7215	culture_number
str7339	KCTC 7645	culture_number
str7339	MUCL 30003	culture_number
str7339	MUCL 30242	culture_number
str7339	MUCL 41031	culture_number
str7339	MUCL 49680	culture_number
str7339	NBRC 0083	culture_number
str7339	NCAIM Y.00898	culture_number
str7339	NCYC 2572	culture_number
str7339	NRRL 10976	culture_number
str7339	NRRL Y-10976	culture_number
str7339	NRRL Y-7426	culture_number
str7339	VTT C-00382	culture_number
str7341	DSM 16109	culture_number
str7341	NCIMB 13491	culture_number
str7342	DSM 1741	culture_number
str7342	KCTC 1907	culture_number
str7342	KCTC 5195	culture_number
str7342	NCIB 8310	culture_number
str7342	NCIMB 8310	culture_number
str7346	CCM 2867	culture_number
str7349	ATCC 50377	culture_number
str7372	ATCC 25206	culture_number
str7372	NRRL B-138	culture_number
str74	DSM 18241	culture_number
str740	ATCC 96836	culture_number
str7404	ATCC 9723	culture_number
str7404	DSM 13631	culture_number
str7404	NCIMB 8114	culture_number
str7404	NCIMB 8695	culture_number
str7408	CECT 2148	culture_number
str7409	ATCC 659	culture_number
str7409	IAM 5009	culture_number
str7409	IFO 5942	culture_number
str7409	JCM 22442	culture_number
str7409	NBRC 5942	culture_number
str7412	UAMH 5334	culture_number
str7413	ATCC 8005	culture_number
str7413	BCRC 11223	culture_number
str7413	CCRC 11223	culture_number
str7413	CCUG 28890	culture_number
str7413	CECT 4264	culture_number
str7413	CIP 106929	culture_number
str7413	DSM 7263	culture_number
str7413	IAM 11001	culture_number
str7413	JCM 20319	culture_number
str7413	KCTC 3397	culture_number
str7413	LMD 30.3	culture_number
str7413	LMG 18061	culture_number
str7413	LMG 18994	culture_number
str7413	LMG 9819	culture_number
str7413	NBRC 102445	culture_number
str7413	NCCB 30003	culture_number
str7413	NCDO 1098	culture_number
str7413	NCFB 1098	culture_number
str7413	NCIMB 8547	culture_number
str7413	NRRL NRS-7281	culture_number
str7413	NRRL NRS-81	culture_number
str7422	BCC 14458	culture_number
str7422	BCRC 17085	culture_number
str7422	CCRC 17085	culture_number
str7422	IFO 3271	culture_number
str7422	LMG 1373	culture_number
str7422	NBRC 3271	culture_number
str7425	ATCC 25593	culture_number
str7425	BCRC 13381	culture_number
str7425	BCRC 13697	culture_number
str7425	CCM 2632	culture_number
str7425	CCRC 13381	culture_number
str7425	CCRC 13697	culture_number
str7425	CCUG 12170	culture_number
str7425	CCUG 34958	culture_number
str7425	CIP 100848	culture_number
str7425	DSM 43248	culture_number
str7425	IMET 7372	culture_number
str7425	JCM 3199	culture_number
str7425	JCM 3227	culture_number
str7425	LMG 5368	culture_number
str7425	NCTC 10668	culture_number
str7425	NRRL B-16540	culture_number
str7425	VKM AC-1017	culture_number
str743	CRBIP 22.32	culture_number
str7430	ATCC 19717	culture_number
str7430	CCM 2833	culture_number
str7430	CGMCC 1.2317	culture_number
str7430	CIP 105455	culture_number
str7430	DSM 5349	culture_number
str7430	IAM 14439	culture_number
str7430	IFO 15537	culture_number
str7430	JCM 21222	culture_number
str7430	LMG 4023	culture_number
str7430	NBRC 15537	culture_number
str7430	NCIB 8718	culture_number
str7430	NCIMB 1971	culture_number
str7430	NCIMB 8718	culture_number
str7430	NCMB 1971	culture_number
str7430	VTT E-103155	culture_number
str7431	ATCC 43504	culture_number
str7431	BCRC 15415	culture_number
str7431	CCRC 15415	culture_number
str7431	CCUG 15815	culture_number
str7431	CCUG 17874	culture_number
str7431	CCUG 39500	culture_number
str7431	CCUG 41351	culture_number
str7431	CIP 103995	culture_number
str7431	DSM 21031	culture_number
str7431	DSM 4867	culture_number
str7431	JCM 12093	culture_number
str7431	JCM 7653	culture_number
str7431	KCTC 12083	culture_number
str7431	KCTC 2948	culture_number
str7431	LMG 18041	culture_number
str7431	LMG 18045	culture_number
str7431	LMG 19449	culture_number
str7431	LMG 7539	culture_number
str7431	LMG 7540	culture_number
str7431	NCTC 11637	culture_number
str7431	VTT E-021812	culture_number
str7433	CBS 100457	culture_number
str7438	CCM F-470	culture_number
str7444	CBS 1553	culture_number
str7444	DBVPG 6034	culture_number
str7445	ATCC 27375	culture_number
str7445	BCRC 13341	culture_number
str7445	CBS 7001.70	culture_number
str7445	CBS 701.70	culture_number
str7445	CCM 3274	culture_number
str7445	CCRC 13341	culture_number
str7445	CCUG 7967	culture_number
str7445	CDBB 156	culture_number
str7445	CECT 5332	culture_number
str7445	DSM 43356	culture_number
str7445	IFO 13920	culture_number
str7445	IMET 9713	culture_number
str7445	JCM 3137	culture_number
str7445	JCM 3214	culture_number
str7445	KACC 20089	culture_number
str7445	KCTC 9790	culture_number
str7445	LMG 21518	culture_number
str7445	LMG 21673	culture_number
str7445	NBRC 13920	culture_number
str7445	NCIB 10486	culture_number
str7445	NCIMB 10486	culture_number
str7445	NCTC 10721	culture_number
str7445	NRRL B-16981	culture_number
str7445	VKM AC-1360	culture_number
str7445	VTT E-011981	culture_number
str7451	JCM 1031	culture_number
str7451	KCTC 3148	culture_number
str7452	ATCC 33323	culture_number
str7452	BCRC 14619	culture_number
str7452	CCM 7009	culture_number
str7452	CCRC 14619	culture_number
str7452	CCT 3748	culture_number
str7452	CCUG 31451	culture_number
str7452	CECT 4479	culture_number
str7452	CIP 102991	culture_number
str7452	DSM 20243	culture_number
str7452	JCM 1131	culture_number
str7452	KCTC 3163	culture_number
str7452	LMG 9203	culture_number
str7452	NCDO 2233	culture_number
str7452	NCFB 2233	culture_number
str7452	NCIB 11718	culture_number
str7452	NCIMB 11718	culture_number
str7452	NRRL B-14168	culture_number
str7452	NRRL B-4240	culture_number
str7452	VTT E-991245	culture_number
str746	DSM 17227	culture_number
str7465	ATCC 56402	culture_number
str7467	LMG 11499	culture_number
str7467	NCDO 2069	culture_number
str7467	NCFB 2069	culture_number
str7467	NCIMB 702069	culture_number
str7467	NRRL B-1416	culture_number
str7469	IAM 1046	culture_number
str7469	JCM 20025	culture_number
str747	VTT E-97789	culture_number
str7470	ATCC 11449	culture_number
str7470	CIP 106146	culture_number
str7470	NCDO 1875	culture_number
str7470	NCIMB 701875	culture_number
str7470	NRRL B-1299	culture_number
str7470	VKM B-1658	culture_number
str7470	VTT E-093124	culture_number
str7474	ATCC 12659	culture_number
str7474	NBIMCC 1643	culture_number
str7474	NCYC 1436	culture_number
str7474	NRRL Y-1389	culture_number
str7475	ATCC 58680	culture_number
str7475	ATCC 58860	culture_number
str7475	BCRC 21522	culture_number
str7475	CBS 1807	culture_number
str7475	CCRC 21522	culture_number
str7475	CECT 10670	culture_number
str7475	DBVPG 6193	culture_number
str7475	DBVPG 6776	culture_number
str7475	DSM 70295	culture_number
str7475	FRR 2293	culture_number
str7475	IAM 12221	culture_number
str7475	IFO 10381	culture_number
str7475	IFO 1289	culture_number
str7475	IHEM 5760	culture_number
str7475	JCM 5995	culture_number
str7475	KCTC 17343	culture_number
str7475	KCTC 7127	culture_number
str7475	KCTC 7826	culture_number
str7475	MUCL 27779	culture_number
str7475	MUCL 39418	culture_number
str7475	NBRC 10381	culture_number
str7475	NBRC 1289	culture_number
str7475	NCIM 3440	culture_number
str7475	NCYC 2710	culture_number
str7475	NRRL Y-11557	culture_number
str7475	NRRL Y-1388	culture_number
str7476	CIP 107775	culture_number
str7476	CRBIP 13.23	culture_number
str7476	CRBIP 13.24	culture_number
str7477	ATCC 35967	culture_number
str7477	BCRC 15361	culture_number
str7477	BCRC 15409	culture_number
str7477	CCM 3970	culture_number
str7477	CCRC 15361	culture_number
str7477	CCRC 15409	culture_number
str7477	CCUG 15530	culture_number
str7477	CECT 917	culture_number
str7477	CIP 100.100	culture_number
str7477	CIP 100100	culture_number
str7477	CNCTC 6525	culture_number
str7477	DSM 20751	culture_number
str7477	KCTC 3591	culture_number
str7477	LMG 11386	culture_number
str7477	LMG 16772	culture_number
str7477	NCAIM B.01873	culture_number
str7477	NCTC 11856	culture_number
str7477	NRRL B-33019	culture_number
str7477	VTT E-98996	culture_number
str748	VTT E-97789	culture_number
str7486	NCIB 232	culture_number
str7486	NCIM 2040	culture_number
str7486	NCIMB 232	culture_number
str7486	NCTC 232	culture_number
str7487	NCIMB 9525	culture_number
str7488	ATCC 8019	culture_number
str7488	CCM 680	culture_number
str7488	CIP 55.140	culture_number
str7488	DSM 30117	culture_number
str7488	IMET 10747	culture_number
str7488	LMD 47.32	culture_number
str7488	NCCB 47032	culture_number
str7488	NCIB 10466	culture_number
str7488	NCIB 8168	culture_number
str7488	NCIMB 10466	culture_number
str749	VTT E-97789	culture_number
str7490	CCM 7047	culture_number
str7490	CCUG 50159	culture_number
str7490	CCUG 50352	culture_number
str7490	CIP 108210	culture_number
str7490	DSM 14560	culture_number
str7490	DSM 15460	culture_number
str7490	JCM 14117	culture_number
str75	DSM 18241	culture_number
str750	VTT E-97789	culture_number
str7503	ATCC 32784	culture_number
str7506	ATCC 32784	culture_number
str7508	ATCC 60180	culture_number
str7511	ATCC 32784	culture_number
str7519	CIP 108740	culture_number
str7519	DSM 16388	culture_number
str7519	IAM 15273	culture_number
str7519	JCM 14320	culture_number
str7519	NCIMB 14011	culture_number
str752	ATCC 24745	culture_number
str752	BCRC 22622	culture_number
str752	CBS 4077	culture_number
str752	CCRC 22622	culture_number
str752	CECT 11177	culture_number
str752	IFO 1092	culture_number
str752	IFO 1256	culture_number
str752	IFO 1259	culture_number
str752	JCM 1813	culture_number
str752	KCTC 7677	culture_number
str752	MUCL 29946	culture_number
str752	NBIMCC 3339	culture_number
str752	NBRC 1092	culture_number
str752	NBRC 1259	culture_number
str752	NCAIM Y.00071	culture_number
str752	NRRL Y-5715	culture_number
str752	VKM Y-1501	culture_number
str7524	ATCC 76616	culture_number
str7533	CCM 2873	culture_number
str7534	UAMH 1369	culture_number
str754	DSM 26764	culture_number
str7542	ATCC 11289	culture_number
str7542	ATCC 11295	culture_number
str7542	BCRC 32899	culture_number
str7542	CBS 136.31	culture_number
str7542	CBS 193.54	culture_number
str7542	CBS 2	culture_number
str7542	CCRC 32899	culture_number
str7542	DSM 6612	culture_number
str7542	IMI 049637	culture_number
str7542	IMI 049643	culture_number
str7544	CIP 107618	culture_number
str7544	DSM 14371	culture_number
str7544	JCM 11309	culture_number
str7544	KCTC 3954	culture_number
str7545	ATCC 49237	culture_number
str755	DSM 26764	culture_number
str7555	ATCC 842	culture_number
str7555	BCRC 11168	culture_number
str7555	CCM 1459	culture_number
str7555	CCRC 11168	culture_number
str7555	CCT 0512	culture_number
str7555	CCT 2479	culture_number
str7555	CCUG 7426	culture_number
str7555	CDBB 35	culture_number
str7555	CECT 155	culture_number
str7555	CFBP 4258	culture_number
str7555	CIP 66.22	culture_number
str7555	DSM 36	culture_number
str7555	HAMBI 1897	culture_number
str7555	HAMBI 635	culture_number
str7555	IAM 13419	culture_number
str7555	IFO 15309	culture_number
str7555	JCM 2507	culture_number
str7555	KACC 10485	culture_number
str7555	KCTC 3627	culture_number
str7555	KCTC 3858	culture_number
str7555	LMD 24.16	culture_number
str7555	LMG 13294	culture_number
str7555	LMG 6319	culture_number
str7555	NBIMCC 3664	culture_number
str7555	NBRC 15309	culture_number
str7555	NCCB 24016	culture_number
str7555	NCDO 1774	culture_number
str7555	NCFB 1774	culture_number
str7555	NCIB 8158	culture_number
str7555	NCIM 2539	culture_number
str7555	NCIMB 30165	culture_number
str7555	NCIMB 8158	culture_number
str7555	NCTC 10343	culture_number
str7555	NRRL B-4317	culture_number
str7555	NRRL NRS-1105	culture_number
str7555	VKM B-420	culture_number
str7555	VKM B-5	culture_number
str7555	VKM B-514	culture_number
str7555	VKM B-703	culture_number
str7555	VTT E-97008	culture_number
str7556	CCM 3599	culture_number
str7556	CIP 104429	culture_number
str7556	DSM 5712	culture_number
str7556	IAM 1034	culture_number
str7556	JCM 7540	culture_number
str7556	LMG 17406	culture_number
str7556	NRRL B-14625	culture_number
str7556	NRRL NRS-1591	culture_number
str7558	NRRL B-3466	culture_number
str756	DSM 26764	culture_number
str7560	ATCC 35512	culture_number
str7560	BCRC 14341	culture_number
str7560	CCRC 14341	culture_number
str7560	CIP 106514	culture_number
str7560	DSM 2944	culture_number
str7560	IAM 15022	culture_number
str7560	JCM 21485	culture_number
str7560	KCTC 12140	culture_number
str7560	LMD 82.5	culture_number
str7560	NBRC 102493	culture_number
str7560	NCCB 82005	culture_number
str7560	NCIMB 13217	culture_number
str7563	ATCC 15946	culture_number
str7563	ATCC 9114	culture_number
str7563	BCRC 11078	culture_number
str7563	CCM 1980	culture_number
str7563	CCRC 11078	culture_number
str7563	CCUG 15839	culture_number
str7563	CCUG 22766	culture_number
str7563	CCUG 32988	culture_number
str7563	CCUG 778	culture_number
str7563	CFBP 2433	culture_number
str7563	CIP 59.18	culture_number
str7563	DSM 654	culture_number
str7563	HAMBI 373	culture_number
str7563	IAM 12059	culture_number
str7563	IAM 14368	culture_number
str7563	IAM 1504	culture_number
str7563	JCM 13309	culture_number
str7563	JCM 21181	culture_number
str7563	KCTC 2350	culture_number
str7563	KCTC 2761	culture_number
str7563	LMD 46.53	culture_number
str7563	LMG 2256	culture_number
str7563	LMG 6114	culture_number
str7563	LMG 7831	culture_number
str7563	NBRC 103037	culture_number
str7563	NCAIM B.01121	culture_number
str7563	NCCB 46053	culture_number
str7563	NCDO 1936	culture_number
str7563	NCFB 1936	culture_number
str7563	NCIB 8570	culture_number
str7563	NCIMB 8570	culture_number
str7563	NRRL B-1492	culture_number
str7563	VKM B-902	culture_number
str7564	ICMP 9034	culture_number
str7565	ATCC 28593	culture_number
str7565	BCRC 32693	culture_number
str7565	CCRC 32693	culture_number
str7567	ATCC 20186	culture_number
str7569	ATCC 66636	culture_number
str7569	CECT 2294	culture_number
str7570	ATCC 10114	culture_number
str7570	ATCC 1123	culture_number
str7570	BCRC 31616	culture_number
str7570	CBS 284.36	culture_number
str7570	CBS 346.48	culture_number
